step,dt_total,plot_time,compute_time,mpc_time
1,0.004999,0.682997,-0.677997,4.106631
2,5.03975,0.48629,4.55346,3.963067
3,4.86838,0.430067,4.438313,4.173596
4,5.021572,0.458622,4.56295,3.96627
5,4.836599,0.471089,4.36551,3.969466
6,4.845728,0.479126,4.366602,4.083691
7,4.96995,0.452017,4.517933,3.913819
8,4.770222,0.446147,4.324074,3.944912
9,4.801385,0.495197,4.306188,3.808567
10,4.7133,0.497313,4.215988,4.088274
11,4.98695,0.472123,4.514826,4.18048
12,4.903113,0.694193,4.20892,4.105972
13,5.209521,0.467569,4.741952,4.246671
14,5.062461,0.486243,4.576218,4.277749
15,5.12846,0.465125,4.663334,4.188686
16,5.037002,0.479145,4.557858,4.074867
17,4.929866,0.469104,4.460763,3.982787
18,4.815703,0.498063,4.31764,4.159338
19,5.02273,0.426138,4.596592,4.3116
20,5.021437,0.487429,4.534008,4.199231
21,5.057236,0.421125,4.636111,4.008557
22,4.799211,0.459146,4.340066,4.273581
23,5.076713,0.646976,4.429737,4.132203
24,5.115145,0.474049,4.641096,4.050649
25,4.880039,0.445176,4.434863,3.951403
26,4.754392,0.472591,4.281801,3.884919
27,4.717615,0.504995,4.21262,4.107901
28,4.987309,0.45216,4.53515,4.511405
29,5.348659,0.478188,4.870471,4.228837
30,5.113532,0.50099,4.612541,4.042732
31,4.7956,0.496054,4.299546,4.083418
32,4.831723,0.486014,4.345709,4.144097
33,4.95937,0.530171,4.429199,4.054552
34,4.913212,0.748129,4.165083,4.022523
35,5.086634,0.478675,4.607959,3.973045
36,4.817976,0.49209,4.325887,4.255291
37,5.115488,0.499121,4.616368,3.951066
38,4.792534,0.505101,4.287434,4.004445
39,4.866439,0.464203,4.402237,3.810998
40,4.626242,0.468994,4.157248,4.095391
41,4.916068,0.518568,4.3975,4.119066
42,4.98711,0.512125,4.474985,4.346296
43,5.22426,0.504027,4.720232,4.013645
44,4.888155,0.427999,4.460156,4.075825
45,4.871173,0.688052,4.183121,4.239355
46,5.324429,0.441014,4.883415,4.163776
47,4.916309,0.459022,4.457287,4.039728
48,4.892352,0.44911,4.443241,4.088497
49,4.909363,0.458027,4.451336,4.189295
50,4.937364,0.474022,4.463341,4.31237
51,5.104483,0.456199,4.648283,4.267792
52,5.063178,0.481973,4.581204,4.249849
53,5.069276,0.4641,4.605175,4.378954
54,5.179713,0.465019,4.714694,4.205478
55,5.018519,0.468966,4.549554,4.117445
56,4.95394,0.707038,4.246902,4.091721
57,5.092767,0.466127,4.626639,4.251555
58,5.093843,0.441004,4.65284,3.934591
59,4.742031,0.481133,4.260898,4.263358
60,5.126701,0.482029,4.644672,4.112809
61,4.8912,0.481035,4.410165,4.257415
62,4.981177,0.504095,4.477082,4.182974
63,5.100695,0.464026,4.636669,4.202799
64,4.995882,0.497092,4.498791,4.279891
65,5.189243,0.453017,4.736226,4.306811
66,5.082269,0.471115,4.611154,4.145463
67,5.012285,0.726111,4.286173,4.270934
68,5.410015,0.474789,4.935225,4.059129
69,4.942577,0.470133,4.472444,4.064139
70,4.934541,0.499018,4.435523,4.113523
71,5.006775,0.486148,4.520627,3.871321
72,4.675855,0.469073,4.206782,4.089482
73,4.970704,0.479334,4.49137,4.194733
74,4.928146,0.505573,4.422573,4.185858
75,5.023977,0.476996,4.54698,4.138163
76,5.02389,0.476001,4.547889,4.345871
77,5.230815,0.726104,4.504711,4.069332
78,5.082315,0.506066,4.576249,4.170991
79,5.05024,0.529135,4.521104,4.388896
80,5.222464,0.521069,4.701396,4.161834
81,5.036017,0.542048,4.493969,4.44183
82,5.33519,0.524996,4.810194,4.284956
83,5.168459,0.489092,4.679368,4.174249
84,4.969687,0.450974,4.518713,4.382491
85,5.205839,0.451883,4.753956,3.996525
86,4.799349,0.441021,4.358329,3.967805
87,4.762895,0.466027,4.296869,4.196847
88,5.027349,0.706086,4.321263,4.143186
89,5.206341,0.4302,4.776141,4.2234
90,5.052176,0.463934,4.588242,4.122549
91,4.995186,0.46804,4.527146,4.475853
92,5.352591,0.472699,4.879891,4.272196
93,4.998911,0.427271,4.571639,4.111542
94,4.782192,0.454361,4.327831,4.118877
95,4.829371,0.505363,4.324008,4.279315
96,5.032257,0.443062,4.589195,4.219384
97,5.068538,0.46053,4.608008,4.082004
98,4.953348,0.473006,4.480343,4.274215
99,5.167354,0.497411,4.669942,4.106618
