Episode,Time,T1,T2,Q1,Q2,TSP1,TSP2,IAE
54,0,28.31,27.99,50.00,50.00,53.90,35.43,33.03
54,5,28.34,28.02,100.00,100.00,53.90,35.43,66.00
54,10,28.31,28.28,100.00,100.00,53.90,35.43,98.74
54,15,28.63,28.31,100.00,100.00,53.90,35.43,131.13
54,20,29.28,28.99,100.00,100.00,53.90,35.43,162.19
54,25,30.21,29.54,100.00,100.00,53.90,35.43,191.77
54,30,31.24,30.11,100.00,100.00,53.90,35.43,219.75
54,35,32.53,30.41,100.00,100.00,53.90,35.43,246.14
54,40,34.27,31.69,100.00,100.00,53.90,35.43,269.51
54,45,35.59,32.02,100.00,100.00,53.90,35.43,291.23
54,50,37.04,32.95,100.00,100.00,53.90,35.43,310.57
54,55,38.62,33.79,100.00,72.90,53.90,35.43,327.49
54,60,40.23,34.85,100.00,22.90,53.90,35.43,341.74
54,65,41.85,35.59,100.00,0.00,53.90,35.43,353.95
54,70,43.46,36.27,100.00,0.00,53.90,35.43,365.23
54,75,45.07,37.01,100.00,0.00,53.90,35.43,375.64
54,80,46.71,37.40,100.00,0.00,53.90,35.43,384.80
54,85,48.39,37.91,100.00,0.00,53.90,35.43,392.79
54,90,49.90,38.30,100.00,0.00,53.90,35.43,399.66
54,95,50.87,38.24,100.00,0.00,53.90,35.43,405.50
54,100,51.77,38.08,100.00,0.00,53.90,35.43,410.28
54,105,52.61,38.01,87.20,0.00,53.90,35.43,414.15
54,110,53.77,38.04,37.20,0.00,53.90,35.43,416.89
54,115,54.83,38.30,0.00,0.00,53.90,35.43,420.69
54,120,56.35,38.62,0.00,0.00,53.90,35.43,426.33
54,125,57.28,38.88,0.00,0.00,53.90,35.43,433.16
54,130,57.96,38.95,0.00,0.00,53.90,35.43,440.74
54,135,58.02,39.01,0.00,0.00,53.90,35.43,448.44
54,140,56.99,38.62,0.00,0.00,53.90,35.43,454.72
54,145,56.02,38.30,0.00,0.00,53.90,35.43,459.71
54,150,55.06,37.98,0.00,0.00,53.90,35.43,463.42
54,155,54.03,37.66,50.00,0.00,53.90,35.43,465.78
54,160,53.09,37.46,100.00,0.00,53.90,35.43,468.62
54,165,52.55,37.66,100.00,0.00,53.90,35.43,472.20
54,170,52.48,37.66,100.00,0.00,53.90,35.43,475.85
54,175,52.51,37.98,100.00,0.00,53.90,35.43,479.79
54,180,53.00,38.14,81.11,0.00,53.90,35.43,483.40
54,185,53.41,37.91,39.73,0.00,53.90,35.43,486.37
54,190,53.77,37.85,4.47,0.00,53.90,35.43,488.92
54,195,54.45,37.85,0.00,0.00,53.90,35.43,491.89
54,200,55.06,37.98,0.00,0.00,53.90,35.43,495.60
54,205,55.12,37.98,0.00,0.00,53.90,35.43,499.37
54,210,54.45,37.56,5.72,0.00,53.90,35.43,502.05
54,215,54.09,37.62,37.52,0.00,53.90,35.43,504.43
54,220,53.80,37.66,71.27,0.00,53.90,35.43,506.76
54,225,53.67,37.66,62.88,0.00,53.90,35.43,509.22
54,230,53.45,37.66,88.55,0.00,53.90,35.43,511.90
54,235,53.41,37.66,72.86,0.00,53.90,35.43,514.62
54,240,53.38,37.66,74.44,0.00,53.90,35.43,517.37
54,245,53.12,37.43,94.39,0.00,53.90,35.43,520.15
54,250,52.77,37.01,100.00,0.00,53.90,35.43,522.86
54,255,52.55,36.75,100.00,0.00,53.90,35.43,525.53
54,260,52.48,36.37,100.00,0.00,53.90,35.43,527.89
54,265,52.80,36.37,100.00,0.00,53.90,35.43,529.93
54,270,53.12,36.11,80.32,0.00,53.90,35.43,531.39
54,275,53.45,36.01,45.65,0.00,53.90,35.43,532.42
54,280,54.09,35.98,0.00,0.00,53.90,35.43,533.16
54,285,55.06,36.05,0.00,0.00,53.90,35.43,534.94
54,290,55.70,36.37,0.00,0.00,53.90,35.43,537.68
54,295,56.35,36.50,0.00,0.00,53.90,35.43,541.20
54,300,56.35,36.69,0.00,0.00,53.90,35.43,544.91
54,305,55.06,36.37,0.00,0.00,53.90,35.43,547.01
54,310,53.77,35.98,50.00,0.00,53.90,35.43,547.69
54,315,52.80,35.72,100.00,0.00,53.90,35.43,549.08
54,320,52.13,35.72,100.00,0.00,53.90,35.43,551.14
54,325,51.77,35.72,100.00,0.00,53.90,35.43,553.56
54,330,51.19,35.72,100.00,0.00,53.90,35.43,556.56
54,335,50.87,35.40,100.00,26.31,53.90,35.43,559.62
54,340,51.19,35.43,100.00,5.85,53.90,35.43,562.33
54,345,51.38,35.05,100.00,50.13,53.90,35.43,565.23
54,350,51.51,34.85,100.00,47.70,53.90,35.43,568.20
54,355,52.42,35.37,100.00,0.00,53.90,35.43,569.74
54,360,53.16,35.40,87.19,0.00,53.90,35.43,570.51
54,365,54.09,35.72,37.19,0.00,53.90,35.43,570.99
54,370,55.12,36.05,0.00,0.00,53.90,35.43,572.83
54,375,56.31,36.37,0.00,0.00,53.90,35.43,576.18
54,380,56.99,36.37,0.00,0.00,53.90,35.43,580.21
54,385,57.64,36.72,0.00,0.00,53.90,35.43,585.24
54,390,57.02,36.69,0.00,0.00,53.90,35.43,589.62
54,395,56.35,36.37,0.00,0.00,53.90,35.43,593.01
54,400,55.06,36.05,0.00,0.00,53.90,35.43,594.79
54,405,54.41,36.05,33.05,0.00,53.90,35.43,595.92
54,410,53.77,36.37,83.05,0.00,53.90,35.43,596.99
54,415,53.45,36.43,100.00,0.00,53.90,35.43,598.44
54,420,52.80,36.43,100.00,0.00,53.90,35.43,600.54
54,425,51.84,36.05,100.00,0.00,53.90,35.43,603.22
54,430,51.90,36.05,100.00,0.00,53.90,35.43,605.84
54,435,52.45,36.37,100.00,0.00,53.90,35.43,608.23
54,440,53.09,36.37,92.63,0.00,53.90,35.43,609.98
54,445,53.19,36.24,88.71,0.00,53.90,35.43,611.50
54,450,53.12,35.98,97.88,0.00,53.90,35.43,612.83
54,455,53.25,35.72,88.77,0.00,53.90,35.43,613.77
54,460,53.58,35.40,48.74,1.50,53.90,35.43,614.12
54,465,54.12,35.63,0.00,0.00,53.90,35.43,614.54
54,470,54.74,35.72,0.00,0.00,53.90,35.43,615.67
54,475,55.57,35.85,0.00,0.00,53.90,35.43,617.76
54,480,56.06,36.08,0.00,0.00,53.90,35.43,620.57
54,485,56.35,36.30,0.00,0.00,43.18,35.43,634.61
54,490,56.28,36.37,0.00,0.00,43.18,35.43,648.65
54,495,56.02,36.37,0.00,0.00,43.18,37.49,662.61
54,500,55.38,36.37,0.00,0.00,43.18,37.49,675.93
54,505,54.41,36.11,0.00,50.00,43.18,37.49,688.54
54,510,53.45,36.34,0.00,60.57,43.18,37.49,699.96
54,515,52.80,36.24,0.00,70.83,43.18,37.49,710.83
54,520,51.90,36.24,0.00,67.79,43.18,37.49,720.80
54,525,51.51,36.79,0.00,17.79,43.18,37.49,729.83
54,530,50.87,36.79,0.00,41.74,43.18,37.49,738.22
54,535,50.39,37.49,0.00,0.00,43.18,37.49,745.43
54,540,49.87,37.66,0.00,0.00,43.18,37.49,752.29
54,545,48.61,37.53,0.00,0.00,43.18,37.49,757.76
54,550,47.97,37.66,0.00,0.00,43.18,37.49,762.72
54,555,47.32,37.66,0.00,0.00,43.18,37.49,767.03
54,560,46.68,37.66,0.00,0.00,43.18,37.49,770.70
54,565,46.07,37.91,0.00,0.00,43.18,37.49,774.01
54,570,45.71,37.98,0.00,0.00,43.18,37.49,777.03
54,575,45.07,37.98,0.00,0.00,43.18,37.49,779.41
54,580,44.42,37.66,0.00,0.00,43.18,37.49,780.82
54,585,43.78,37.53,0.00,0.00,43.18,37.49,781.46
54,590,42.81,36.79,50.00,50.00,43.18,37.49,782.53
54,595,41.85,36.69,100.00,88.98,43.18,37.49,784.66
54,600,41.23,36.53,100.00,77.17,43.18,37.49,787.57
54,605,40.94,36.59,100.00,65.38,43.18,37.49,790.71
54,610,41.20,36.56,100.00,67.08,43.18,37.49,793.62
54,615,41.85,36.98,88.80,31.12,43.18,37.49,795.46
54,620,42.49,37.24,54.15,9.31,43.18,37.49,796.40
54,625,43.30,37.33,4.15,0.00,43.18,37.49,796.68
54,630,44.36,37.66,0.00,0.00,43.18,37.49,798.03
54,635,45.10,38.04,0.00,0.00,43.18,37.49,800.50
54,640,45.74,38.30,0.00,0.00,43.18,37.49,803.87
54,645,46.36,38.59,0.00,0.00,43.18,37.49,808.15
54,650,46.36,38.49,0.00,0.00,43.18,37.49,812.33
54,655,45.39,37.69,0.00,0.00,43.18,37.49,814.74
54,660,44.42,37.01,0.00,50.00,43.18,37.49,816.46
54,665,43.84,36.75,0.00,97.33,43.18,37.49,817.86
54,670,43.17,36.91,50.00,62.00,43.18,37.49,818.45
54,675,42.49,36.14,100.00,100.00,43.18,37.49,820.49
